observation_date,GDP_Growth_Rate,Unemployment_Rate_Change,Jobs_Added,Capacity_Growth_Rate,Industrial_Production_Growth,RegimeLabel
1990-07-01,0.06658167932800385,0.2999999999999998,-35.0,-0.14,-0.16638007008998867,Recession
1990-10-01,-0.9104045569679919,0.0,-146.0,-1.63,-0.6147837522799904,Recession
1991-01-01,-0.4679406451076118,0.10000000000000053,-110.0,-1.78,-0.3333414914706623,Recession
1991-04-01,0.7796890568610104,-0.09999999999999964,-218.0,0.24,0.25722544790562907,Slowdown
1991-07-01,0.5053586865160886,-0.10000000000000053,-40.0,0.91,0.27407987470633444,Boom
