observation_date,Jobless_Claims,Business_Confidence_Index,Consumer_Confidence_Index,Credit_Conditions_Subindex,Crude_Oil_Prices,Housing_Starts,Volatility_Index,observation_date,Interest_Rates,10Y_minus_2Y_Treasury_Constant_Maturity,Corporate_Bond_Yield,CPI,Deficit_%_GDP,Durable_Good_Orders,GDP,PPI,Business_Inventories,Unemployment_Rate,observation_date,Capacity_Utilization_Rate,Industrial_Production_Index,Labor_Force_Participation, Total_Retail_Sales,Total_Jobs,observation_date,USREC,GDP_Growth_Rate,Unemployment_Rate_Change,Jobs_Added,Capacity_Growth_Rate,Industrial_Production_Growth,Jobless_Claims_Change,Regime_Label
2000-04-01,280846,9.4,109.2,0.1346,25.74,1626,24.92,2000-04-01,6.27,-0.41,,170.9,2.031395,201132.0,14130.908,130.7,1157552.0,3.8,2000-04-01,82.2761,92.6659,67.3,158599.0,131883,2000-04-01,0,1.8212878131352639,-0.20000000000000018,279.0,0.17,0.6330158661207674,-5000.0,Neutral
2000-07-01,301929,5.0,108.3,0.1805,29.77,1463,19.17,2000-07-01,6.52,-0.29,,172.7,1.75821,192647.0,14145.312,133.7,1175374.0,4.0,2000-07-01,81.4061,92.8373,66.9,157863.0,132228,2000-07-01,0,0.10193258635609048,0.0,166.0,-0.87,-0.17687829697919932,21083.0,Slowdown
2000-10-01,328538,-2.6,105.8,0.40919,33.08,1549,26.02,2000-10-01,6.47,-0.17,,173.9,1.485025,188070.0,14229.765,135.4,1189920.0,3.9,2000-10-01,80.3854,92.64,66.8,159245.0,132352,2000-10-01,0,0.5970387927816567,0.0,14.0,-1.02,-0.3685631843342807,26609.0,Neutral
2001-01-01,367769,-17.2,94.7,0.46467,29.58,1600,25.73,2001-01-01,5.6,0.4,,175.6,1.21184,179847.0,14183.12,140.0,1197945.0,4.2,2001-01-01,78.6272,91.8908,67.2,158789.0,132703,2001-01-01,0,-0.3277988076401672,0.30000000000000027,-13.0,-1.76,-0.49260550301746253,39231.0,Recession
2001-04-01,396231,-13.8,88.4,0.25432,27.41,1649,23.92,2001-04-01,4.33,0.91,,176.4,0.5480125,175316.0,14271.694,136.4,1184434.0,4.4,2001-04-01,76.9291,90.7384,66.9,159188.0,132457,2001-04-01,1,0.624502930243831,0.10000000000000053,-294.0,-1.7,-0.3515322567360535,28462.0,Neutral
