Date,Fed_Funds_Rate,Business_Sentiment,Consumer_Sentiment,Oil_Price_WTI,Yield_Curve_10Y_2Y,Housing_Starts,Jobless_Claims,Nonfarm_Payrolls,Date,Real_GDP,CPI_Inflation,Labor_Force_Participation,PPI_Inflation,Unemployment_Rate,Date,Capacity_Utilization,Industrial_Production
1979-01-01,10.07,17.0,72.1,14.85,-0.76,1630,358000,88808,1979-01-01,7238.727,68.5,63.6,73.8,5.9,1979-01-01,86.065,51.525
1979-04-01,10.18,12.4,66.0,15.85,-0.6,1748,373385,89417,1979-04-01,7246.454,70.6,63.5,76.9,5.8,1979-04-01,85.1806,51.3251
1979-07-01,10.94,2.6,60.4,21.75,-0.19,1760,386231,90217,1979-07-01,7300.281,73.0,63.6,79.2,5.7,1979-07-01,84.2881,51.7029
1979-10-01,13.58,-2.0,62.1,29.0,-1.19,1681,415615,90481,1979-10-01,7318.535,75.2,63.7,82.1,6.0,1979-10-01,84.0443,51.7175
1980-01-01,15.07,-7.599999999999999,67.0,32.5,-0.7,1341,422923,90800,1980-01-01,7341.557,78.0,64.0,85.2,6.3,1980-01-01,83.8941,51.944
