observation_date,GDP_Growth_Rate,Unemployment_Rate_Change,Jobs_Added,Industrial_Production_Growth,Regime_Label,label_regime,PC1,PC2,observation_date,CPI_lag1,CPI_lag2,CPI_lag3,CPI_lag4,M2_Money_Stocks_lag1,M2_Money_Stocks_lag2,M2_Money_Stocks_lag3,M2_Money_Stocks_lag4,Jobless_Claims_lag1,Jobless_Claims_lag2,Jobless_Claims_lag3,Jobless_Claims_lag4,Business_Confidence_Index_lag1,Business_Confidence_Index_lag2,Business_Confidence_Index_lag3,Business_Confidence_Index_lag4,Consumer_Confidence_Index_lag1,Consumer_Confidence_Index_lag2,Consumer_Confidence_Index_lag3,Consumer_Confidence_Index_lag4,Credit_Conditions_Subindex_lag1,Credit_Conditions_Subindex_lag2,Credit_Conditions_Subindex_lag3,Credit_Conditions_Subindex_lag4,Housing_Starts_lag1,Housing_Starts_lag2,Housing_Starts_lag3,Housing_Starts_lag4,Labor_Force_Participation_lag1,Labor_Force_Participation_lag2,Labor_Force_Participation_lag3,Labor_Force_Participation_lag4,Interest_Rates_lag1,Interest_Rates_lag2,Interest_Rates_lag3,Interest_Rates_lag4,Deficit_%_GDP_lag1,Deficit_%_GDP_lag2,Deficit_%_GDP_lag3,Deficit_%_GDP_lag4,Capacity_Utilization_Rate_lag1,Capacity_Utilization_Rate_lag2,Capacity_Utilization_Rate_lag3,Capacity_Utilization_Rate_lag4,CPI_roll_mean,CPI_roll_std,CPI_pct_change,M2_Money_Stocks_roll_mean,M2_Money_Stocks_roll_std,M2_Money_Stocks_pct_change,Jobless_Claims_roll_mean,Jobless_Claims_roll_std,Jobless_Claims_pct_change,Business_Confidence_Index_roll_mean,Business_Confidence_Index_roll_std,Business_Confidence_Index_pct_change,Consumer_Confidence_Index_roll_mean,Consumer_Confidence_Index_roll_std,Consumer_Confidence_Index_pct_change,Credit_Conditions_Subindex_roll_mean,Credit_Conditions_Subindex_roll_std,Credit_Conditions_Subindex_pct_change,Housing_Starts_roll_mean,Housing_Starts_roll_std,Housing_Starts_pct_change,Labor_Force_Participation_roll_mean,Labor_Force_Participation_roll_std,Labor_Force_Participation_pct_change,Interest_Rates_roll_mean,Interest_Rates_roll_std,Interest_Rates_pct_change,Deficit_%_GDP_roll_mean,Deficit_%_GDP_roll_std,Deficit_%_GDP_pct_change,Capacity_Utilization_Rate_roll_mean,Capacity_Utilization_Rate_roll_std,Capacity_Utilization_Rate_pct_change,observation_date,Interest_Rates,Deficit_%_GDP,Fisical_Stress_Index,observation_date,CPI,PPI,Inflation_Gap,observation_date,Total_Retail_Sales,Business_Inventories,Inventories_to_Sales_Ratio,observation_date,Jobs_Added,Unemployment_Rate_Change,Jobs_Momentum,observation_date,10Y_minus_2Y_Treasury_Constant_Maturity,Change_in_Treasury_Rate,observation_date,Volatility_Index,Volatility_Index_Growth_Rate,observation_date,M2_Money_Stocks,M2_Money_Stocks_Change
1970-01-01 00:00:00,-0.7701889037457129,0.5047047358261435,-0.09040666146725661,-1.651508892479734,Recession,Recession,1.5000025034160342,-0.5935817307067475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-04-01 00:00:00,-0.5018476379230609,0.23054413858724984,-0.11739372459181083,-0.2901997587447586,mild,mild,0.5538381554015729,-0.3002326617270561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-07-01 00:00:00,0.21815075496112332,0.09346383996780391,-0.027200118886063846,0.13881314370850845,Stable,Stable,-0.10597782736651394,0.24114924318054884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-10-01 00:00:00,-1.622167160358058,0.09346383996780391,-0.3446532035354252,-1.7784162306591578,Recession,Recession,1.8631024452294735,-1.3454745357226274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-01-01 00:00:00,1.875309777915812,-0.31777705589053384,0.007598988827177109,0.5860042810367119,Stable,Stable,-1.3086932489981769,1.4559298860325227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-04-01 00:00:00,-0.13333145329029017,-0.18069675727108794,0.080748133612153,0.40855490478543016,Stable,Stable,-0.28537231246904693,-0.16055153666629962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-07-01 00:00:00,0.12671793944950477,0.09346383996780391,-0.0009232416332084315,-0.3186167110398514,Stable,Stable,0.15564739126996865,0.09831350562159963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-10-01 00:00:00,-0.4158390175998352,-0.31777705589053507,-0.024359375399268666,0.5681174535238976,mild,mild,-0.25788529903133567,-0.3756379954971994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-01-01 00:00:00,1.0637273355695325,-0.31777705589053507,0.191537129597165,1.9736822369164202,Boom,Boom,-1.7511200205407487,0.8996910218636239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-04-01 00:00:00,1.4626901622367583,-0.18069675727108794,0.11057594022350238,0.7761280930059359,Stable,Stable,-1.2031387270776244,1.1570664296139477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
